법정동시군구코드,법정동읍면동코드,법정동지번코드,법정동본번코드,법정동부번코드,도로명,도로명시군구코드,도로명코드,도로명일련번호코드,도로명지상지하코드,도로명건물본번호코드,도로명건물부번호코드,법정동,단지명,지번,전용면적,계약년도,계약월,계약일,거래금액,층,건축년도,단지일련번호,해제여부,해제사유발생일,거래유형,중개사소재지,등기일자,아파트동명,매도자,매수자,토지임대부아파트여부
41135,10100,1,0066,0000,장안로51번길,41135,4340382,01,0,00031,00000,분당동,장안타운(건영),66,53.72,2025,6,19,78000,7,1993,41135-32,None,None,중개거래,경기 성남시 분당구,25.09.04,102,개인,개인,N
41135,11400,1,0066,0000,미금로,41135,3180016,02,0,00177,00000,구미동,까치마을(3단지)(신원),66,101.86,2025,6,7,162000,10,1995,41135-165,None,None,중개거래,경기 성남시 분당구,25.10.02,304,개인,개인,N
41135,10600,1,0143,0000,이매로,41135,3180047,01,0,00016,00000,이매동,아름마을(효성),143,101.76,2025,6,15,178000,7,1994,41135-88,None,None,중개거래,"경기 성남시 분당구, 경기 안양시 동안구",25.09.05,704,개인,개인,N
41135,10900,1,0705,0000,동판교로,41135,3178016,01,0,00275,00000,삼평동,봇들마을1단지(판교신미주),705,82.794,2025,6,22,158000,4,2009,41135-440,None,None,중개거래,경기 성남시 분당구,25.09.01,116,개인,개인,N
41135,10600,1,0100,0000,양현로,41135,3180042,02,0,00192,00000,이매동,이매촌(삼성),100,84.94,2025,6,16,139500,3,1994,41135-92,None,None,중개거래,경기 성남시 분당구,25.08.29,1025,개인,개인,N
41135,10700,1,0330,0000,장미로,41135,3180048,01,0,00055,00000,야탑동,장미마을(동부),330,70.56,2025,6,3,107000,10,1993,41135-137,None,None,중개거래,경기 성남시 분당구,25.08.29,139,개인,개인,N
41135,10300,1,0012,0003,정자일로213번길,41135,4340130,01,0,00010,00000,정자동,성원상떼뷰101동,12-3,144.56,2025,6,13,198000,13,2004,41135-267,None,None,중개거래,경기 성남시 분당구,25.09.05,101,개인,개인,N
41135,10100,1,0038,0000,수내로,41135,3180039,01,0,00181,00000,분당동,샛별마을(우방),38,133.86,2025,6,25,189000,7,1994,41135-21,None,None,중개거래,"경기 성남시 분당구, 경기 성남시 수정구",25.10.28,308,개인,개인,N
41135,10900,1,0718,0000,동판교로,41135,3178016,01,0,00226,00000,삼평동,봇들마을4단지(주공),718,74.45,2025,6,4,158000,17,2009,41135-454,None,None,중개거래,경기 성남시 분당구,25.09.30,407,개인,개인,N
41135,10900,1,0741,0000,대왕판교로606번길,41135,4340053,01,0,00058,00000,삼평동,판교푸르지오월드마크,741,127.6,2025,6,9,259000,13,2013,41135-511,None,None,중개거래,경기 성남시 분당구,25.08.27,2동,개인,개인,N
41135,10300,1,0174,0001,정자일로,41135,3180021,01,0,00121,00000,정자동,분당더샾스타파크,174-1,117.2333,2025,6,27,175000,4,2007,41135-422,None,None,중개거래,경기 성남시 분당구,25.10.15,102,개인,개인,N
41135,10700,1,0525,0000,판교로,41135,3180051,02,0,00519,00000,야탑동,탑마을(경남)1,525,134.79,2025,6,26,135900,11,1994,41135-140,None,None,중개거래,경기 성남시 분당구,25.09.01,716,개인,개인,N
41135,10100,1,0034,0000,분당로,41135,3180026,01,0,00190,00000,분당동,샛별마을(라이프),34,85.0,2025,6,23,147000,7,1992,41135-19,None,None,중개거래,경기 성남시 분당구,25.10.29,110,개인,개인,N
41135,10100,1,0066,0000,장안로51번길,41135,4340382,01,0,00011,00000,분당동,장안타운(건영),66,53.72,2025,6,5,71000,9,1993,41135-32,None,None,중개거래,경기 성남시 분당구,25.09.30,108,개인,개인,N
