rnum,platPlc,sigunguCd,bjdongCd,platGbCd,bun,ji,mgmPmsrgstPk,bldNm,splotNm,block,lot,jimokCdNm,jiyukCdNm,jiguCdNm,guyukCd,guyukCdNm,jimokCd,jiyukCd,jiguCd,archGbCd,archGbCdNm,platArea,archArea,bcRat,totArea,vlRatEstmTotArea,vlRat,mainBldCnt,atchBldDongCnt,mainPurpsCd,mainPurpsCdNm,hhldCnt,hoCnt,fmlyCnt,totPkngCnt,stcnsSchedDay,stcnsDelayDay,realStcnsDay,archPmsDay,useAprDay,crtnDay
19,경기도 성남시 분당구 백현동 278-1번지,41135,11000,0,0278,0001,108915647, , , , , , , , , , , , , , ,5445.0,926.0,0.0,926.0,0.0,0.0,0,0, , ,0,0,0,0, , , ,20060904, ,20220909
20,경기도 성남시 분당구 백현동 359-1번지,41135,11000,0,0359,0001,1089100072555, , , , ,전,보전녹지지역, ,UQQ300,지구단위계획구역,01,UQA410, ,0100,신축,1173.0,176.0,15.0,176.0,176.0,15.0,0,0,03000,제1종근린생활시설,0,0,0,0,20220103, ,20220104,20211028,20220929,20220929
21,경기도 성남시 분당구 백현동 359-1번지,41135,11000,0,0359,0001,1000000000000000302611, , , , ,대,보전녹지지역, ,UQQ300,지구단위계획구역,08,UQA410, ,0200,증축,2641.0,422.4,16.0,352.0,352.0,13.33,2,0,03000,제1종근린생활시설,0,2,0,0,20230719, ,20230731,20230525,20231205,20231205
22,경기도 성남시 분당구 백현동 366-1번지,41135,11000,0,0366,0001,108913791,1, , , ,전,자연녹지지역, , , ,01,1330, ,0100,신축,103.0,20.4,19.81,40.8,40.8,39.61,1,0,04000,제2종근린생활시설,0,0,0,0,20020709, ,20020709,20020626,20021025,20220909
23,경기도 성남시 분당구 백현동 366-1번지,41135,11000,0,0366,0001,1089100024080, , , , ,주유소용지, , , , ,12, , , , ,0.0,0.0,0.0,0.0,0.0,0.0,0,0, , ,0,0,0,0, , , ,20120216, ,20220909
24,경기도 성남시 분당구 백현동 366-2번지,41135,11000,0,0366,0002,1089100011925, , , , ,대, , , , ,08, , , , ,0.0,0.0,0.0,0.0,0.0,0.0,0,0, , ,0,0,0,0, , , ,20091124, ,20220909
25,경기도 성남시 분당구 백현동 366-2번지,41135,11000,0,0366,0002,1089100004874,백현동 366-2 제1종근린생활시설 (김경희), , , ,전,자연녹지지역, , , ,01,1330, ,0100,신축,46.0,8.28,18.0,8.28,8.28,18.0,1,0,03000,제1종근린생활시설,0,0,0,0,20080315, ,20080313,20080228,20080516,20220909
26,경기도 성남시 분당구 백현동 366-2번지,41135,11000,0,0366,0002,1089100013044, , , , ,대, , , , ,08, , , , ,0.0,0.0,0.0,0.0,0.0,0.0,0,0, , ,0,0,0,0, , , ,20100211, ,20220909
27,경기도 성남시 분당구 백현동 366-7번지,41135,11000,0,0366,0007,108912959,백현동다가구, , , ,답,도시지역, , , ,02,0100, ,0100,신축,562.0,112.13,19.95,531.02,422.05,75.1,1,0,01000,단독주택,0,0,19,8,20030704,20020930,20030704,20010727,20071217,20220909
28,경기도 성남시 분당구 백현동 366-8번지,41135,11000,0,0366,0008,1089100010919, , , , ,대, , , , ,08, , , , ,0.0,0.0,0.0,0.0,0.0,0.0,0,0, , ,0,0,0,0, , , ,20090904, ,20220909
29,경기도 성남시 분당구 백현동 366-8번지,41135,11000,0,0366,0008,108911554,k.J빌딩, , , ,전,자연녹지지역, , , ,01,1330, ,0100,신축,419.0,68.33,16.31,400.56,272.82,65.11,1,0,03000,제1종근린생활시설,0,0,0,2,20041203, , ,20041008,20050531,20220909
30,경기도 성남시 분당구 백현동 366-10번지,41135,11000,0,0366,0010,1089100011014, , , , ,주유소용지, , , , ,12, , , , ,0.0,0.0,0.0,0.0,0.0,0.0,0,0, , ,0,0,0,0, , , ,20090911, ,20220909
31,경기도 성남시 분당구 백현동 366-10번지,41135,11000,0,0366,0010,1089100024173,분당로  주유소, , , ,대,자연녹지지역, , , ,08,UQA430, ,0200,증축,1811.0,361.59,19.97,727.636,618.806,34.17,2,0,19000,위험물저장및처리시설,0,0,0,0,20120305, ,20120305,20120220,20120605,20220909
32,경기도 성남시 분당구 백현동 366-10번지,41135,11000,0,0366,0010,108913251,분당로 주유소, , , ,잡종지,자연녹지지역, , , ,28,1330, ,0600,대수선,1353.0,269.88,19.95,524.58,389.83,28.81,2,0,19000,위험물저장및처리시설,0,0,0,2,20011202, ,20011130,20011128,20020209,20220909
