rnum,platPlc,sigunguCd,bjdongCd,platGbCd,bun,ji,mgmBldrgstPk,mgmUpBldrgstPk,bldgId,regstrGbCd,regstrGbCdNm,regstrKindCd,regstrKindCdNm,newPlatPlc,bldNm,splotNm,block,lot,bylotCnt,naRoadCd,naBjdongCd,naUgrndCd,naMainBun,naSubBun,jiyukCd,jiguCd,guyukCd,jiyukCdNm,jiguCdNm,guyukCdNm,crtnDay
13,경기도 성남시 분당구 백현동 366-10번지,41135,11000,0,0366,0010,10891119235,10891100205894,2120041910007160,1,일반,2,일반건축물,경기도 성남시 분당구 대왕판교로 381 (백현동),분당로  주유소, , , ,0,411353180005,11003,0,381,0, , , , , , ,20220909
14,경기도 성남시 분당구 백현동 366-10번지,41135,11000,0,0366,0010,10891100205895,10891100205894,2120101910000057,1,일반,2,일반건축물,경기도 성남시 분당구 대왕판교로 381 (백현동),분당로  주유소, , , ,0,411353180005,11003,0,381,0, , , , , , ,20220909
15,경기도 성남시 분당구 백현동 366-10번지,41135,11000,0,0366,0010,10891100205894,0,2020101910000007,1,일반,1,총괄표제부, ,분당로  주유소, , , ,0, , ,0,0,0,UQA430, , ,자연녹지지역, , ,20220909
16,경기도 성남시 분당구 백현동 366-11번지,41135,11000,0,0366,0011,10891100334391,0,2120211910000002,1,일반,2,일반건축물,경기도 성남시 분당구 대왕판교로 379 (백현동), , , , ,0,411353180005,11003,0,379,0,UQA001,UNE412,ZQ0001,도시지역,비행안전제2구역(전술),중점경관관리구역,20220909
17,경기도 성남시 분당구 백현동 367-1번지,41135,11000,0,0367,0001,10891122136,0,2120041910007162,1,일반,2,일반건축물,경기도 성남시 분당구 대왕판교로 373 (백현동), , , , ,0,411353180005,11003,0,373,0,1310, , ,보전녹지지역, , ,20220909
18,경기도 성남시 분당구 백현동 367-2번지,41135,11000,0,0367,0002,10891126457,0,2120041910007163,1,일반,2,일반건축물,경기도 성남시 분당구 대왕판교로 377 (백현동), , , , ,0,411353180005,11003,0,377,0,1310, , ,보전녹지지역, , ,20240314
19,경기도 성남시 분당구 백현동 368번지,41135,11000,0,0368,0000,10891121532,10891118152,2120041910007165,1,일반,2,일반건축물,경기도 성남시 분당구 대왕판교로385번길 13 (백현동),한성자동차 백현동 정비공장, , , ,2,411354340050,11001,0,13,0, , , , , , ,20240314
20,경기도 성남시 분당구 백현동 368번지,41135,11000,0,0368,0000,10891121533,10891118152,2120041910007164,1,일반,2,일반건축물,경기도 성남시 분당구 대왕판교로385번길 13 (백현동),한성자동차 백현동 정비공장, , , ,2,411354340050,11001,0,13,0, , , , , , ,20240314
21,경기도 성남시 분당구 백현동 368번지,41135,11000,0,0368,0000,10891118152,0,2020041910000406,1,일반,1,총괄표제부,경기도 성남시 분당구 대왕판교로385번길 13 (백현동),한성자동차 백현동 정비공장, , , ,2,411354340050,11001,0,13,0,1330,011, ,자연녹지지역,자연취락지구, ,20240314
22,경기도 성남시 분당구 백현동 370번지,41135,11000,0,0370,0000,10891100352592,10891100352591,2220221910000507,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 13-7 (백현동),isola, , , ,0,411354340050,11001,0,13,7, , , , , , ,20220909
23,경기도 성남시 분당구 백현동 370번지,41135,11000,0,0370,0000,10891100352594,10891100352591,2220221910000509,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 13-7 (백현동),isola, , , ,0,411354340050,11001,0,13,7, , , , , , ,20220909
24,경기도 성남시 분당구 백현동 370번지,41135,11000,0,0370,0000,10891100352593,10891100352591,2220221910000508,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 13-7 (백현동),isola, , , ,0,411354340050,11001,0,13,7, , , , , , ,20220909
25,경기도 성남시 분당구 백현동 370번지,41135,11000,0,0370,0000,10891100352595,10891100352591,2220221910000510,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 13-7 (백현동),isola, , , ,0,411354340050,11001,0,13,7, , , , , , ,20220909
26,경기도 성남시 분당구 백현동 370번지,41135,11000,0,0370,0000,10891100352591,0,2120221910000110,2,집합,3,표제부,경기도 성남시 분당구 대왕판교로385번길 13-7 (백현동),isola, , , ,0,411354340050,11001,0,13,7,UQA001,UQM110,UNE412,도시지역,자연취락지구, ,20220909
27,경기도 성남시 분당구 백현동 370-2번지,41135,11000,0,0370,0002,10891100329323,0,2120201910000117,2,집합,3,표제부,경기도 성남시 분당구 대왕판교로385번길 13-9 (백현동),판교테라스힐1, , , ,0,411354340050,11001,0,13,9,UQA430,UQM110, ,자연녹지지역,자연취락지구, ,20230508
28,경기도 성남시 분당구 백현동 370-2번지,41135,11000,0,0370,0002,10891100329325,10891100329323,2220201910000505,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 13-9 (백현동),판교테라스힐1, , , ,0,411354340050,11001,0,13,9, , , , , , ,20230508
29,경기도 성남시 분당구 백현동 370-2번지,41135,11000,0,0370,0002,10891100329324,10891100329323,2220201910000504,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 13-9 (백현동),판교테라스힐1, , , ,0,411354340050,11001,0,13,9, , , , , , ,20230508
30,경기도 성남시 분당구 백현동 370-2번지,41135,11000,0,0370,0002,10891100329326,10891100329323,2220201910000506,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 13-9 (백현동),판교테라스힐1, , , ,0,411354340050,11001,0,13,9, , , , , , ,20230508
31,경기도 성남시 분당구 백현동 370-2번지,41135,11000,0,0370,0002,10891100329328,10891100329323,2220201910000508,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 13-9 (백현동),판교테라스힐1, , , ,0,411354340050,11001,0,13,9, , , , , , ,20230508
32,경기도 성남시 분당구 백현동 370-2번지,41135,11000,0,0370,0002,10891100329331,10891100329323,2220201910000511,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 13-9 (백현동),판교테라스힐1, , , ,0,411354340050,11001,0,13,9, , , , , , ,20230508
33,경기도 성남시 분당구 백현동 370-2번지,41135,11000,0,0370,0002,10891100329330,10891100329323,2220201910000510,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 13-9 (백현동),판교테라스힐1, , , ,0,411354340050,11001,0,13,9, , , , , , ,20230508
34,경기도 성남시 분당구 백현동 370-2번지,41135,11000,0,0370,0002,10891100329327,10891100329323,2220201910000507,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 13-9 (백현동),판교테라스힐1, , , ,0,411354340050,11001,0,13,9, , , , , , ,20230508
35,경기도 성남시 분당구 백현동 370-2번지,41135,11000,0,0370,0002,10891100329329,10891100329323,2220201910000509,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 13-9 (백현동),판교테라스힐1, , , ,0,411354340050,11001,0,13,9, , , , , , ,20230508
36,경기도 성남시 분당구 백현동 370-5번지,41135,11000,0,0370,0005,10891100172782,0,2120081910000021,1,일반,2,일반건축물,경기도 성남시 분당구 대왕판교로385번길 13-6 (백현동), , , , ,0,411354340050,11001,0,13,6,1330,011, ,자연녹지지역,자연취락지구, ,20220909
37,경기도 성남시 분당구 백현동 370-6번지,41135,11000,0,0370,0006,10891122655,0,2120041910007171,1,일반,2,일반건축물,경기도 성남시 분당구 대왕판교로385번길 13-8 (백현동), , , , ,0,411354340050,11001,0,13,8, , , , , , ,20220909
38,경기도 성남시 분당구 백현동 370-7번지,41135,11000,0,0370,0007,10891123887,0,2120041910007172,1,일반,2,일반건축물,경기도 성남시 분당구 대왕판교로385번길 13-10 (백현동), , , , ,0,411354340050,11001,0,13,10, , , , , , ,20220909
39,경기도 성남시 분당구 백현동 373번지,41135,11000,0,0373,0000,10891100216156,0,2120101910000962,1,일반,2,일반건축물,경기도 성남시 분당구 대왕판교로385번길 23 (백현동), , , , ,0,411354340050,11001,0,23,0,1310, , ,보전녹지지역, , ,20220909
40,경기도 성남시 분당구 백현동 373-1번지,41135,11000,0,0373,0001,10891100182282,10891100182279,2220081910005083,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 13-4 (백현동),동양 라샹스, , , ,0,411354340050,11001,0,13,4, , , , , , ,20220909
41,경기도 성남시 분당구 백현동 373-1번지,41135,11000,0,0373,0001,10891100182284,10891100182279,2220081910005085,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 13-4 (백현동),동양 라샹스, , , ,0,411354340050,11001,0,13,4, , , , , , ,20220909
42,경기도 성남시 분당구 백현동 373-1번지,41135,11000,0,0373,0001,10891100182275,10891100182270,2220081910005077,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 13-4 (백현동),동양 라샹스, , , ,0,411354340050,11001,0,13,4, , , , , , ,20220909
43,경기도 성남시 분당구 백현동 373-1번지,41135,11000,0,0373,0001,10891100182280,10891100182279,2220081910005081,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 13-4 (백현동),동양 라샹스, , , ,0,411354340050,11001,0,13,4, , , , , , ,20220909
44,경기도 성남시 분당구 백현동 373-1번지,41135,11000,0,0373,0001,10891100182289,10891100182285,2220081910005089,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 13-4 (백현동),동양 라샹스, , , ,0,411354340050,11001,0,13,4, , , , , , ,20220909
45,경기도 성남시 분당구 백현동 373-1번지,41135,11000,0,0373,0001,10891100182283,10891100182279,2220081910005084,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 13-4 (백현동),동양 라샹스, , , ,0,411354340050,11001,0,13,4, , , , , , ,20220909
46,경기도 성남시 분당구 백현동 373-1번지,41135,11000,0,0373,0001,10891100182274,10891100182270,2220081910005076,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 13-4 (백현동),동양 라샹스, , , ,0,411354340050,11001,0,13,4, , , , , , ,20220909
47,경기도 성남시 분당구 백현동 373-1번지,41135,11000,0,0373,0001,10891100182273,10891100182270,2220081910005075,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 13-4 (백현동),동양 라샹스, , , ,0,411354340050,11001,0,13,4, , , , , , ,20220909
48,경기도 성남시 분당구 백현동 373-1번지,41135,11000,0,0373,0001,10891100182271,10891100182270,2220081910005073,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 13-4 (백현동),동양 라샹스, , , ,0,411354340050,11001,0,13,4, , , , , , ,20220909
49,경기도 성남시 분당구 백현동 373-1번지,41135,11000,0,0373,0001,10891100182277,10891100182270,2220081910005079,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 13-4 (백현동),동양 라샹스, , , ,0,411354340050,11001,0,13,4, , , , , , ,20220909
50,경기도 성남시 분당구 백현동 373-1번지,41135,11000,0,0373,0001,10891100182278,10891100182270,2220081910005080,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 13-4 (백현동),동양 라샹스, , , ,0,411354340050,11001,0,13,4, , , , , , ,20220909
51,경기도 성남시 분당구 백현동 373-1번지,41135,11000,0,0373,0001,10891100182287,10891100182285,2220081910005087,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 13-4 (백현동),동양 라샹스, , , ,0,411354340050,11001,0,13,4, , , , , , ,20220909
52,경기도 성남시 분당구 백현동 373-1번지,41135,11000,0,0373,0001,10891100182286,10891100182285,2220081910005086,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 13-4 (백현동),동양 라샹스, , , ,0,411354340050,11001,0,13,4, , , , , , ,20220909
53,경기도 성남시 분당구 백현동 373-1번지,41135,11000,0,0373,0001,10891100182279,10891100182269,2120081910000561,2,집합,3,표제부,경기도 성남시 분당구 대왕판교로385번길 13-4 (백현동),동양 라샹스, , , ,0,411354340050,11001,0,13,4, , , , , , ,20220909
